Product ID,Product Name,Raw Ingredients,Manufacturer Name,Manufacturer Address,Country of Origin
001,Shampoo,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Fragrance, etc.",Johnson & Johnson,"1 Johnson & Johnson Plaza, New Brunswick, NJ 08933, USA",USA
002,Granola Bar,"Rolled Oats, Honey, Brown Sugar, Rice Flour, Salt, etc.",Nature Valley,"444 W Lake St #1700, Chicago, IL 60606, USA",USA
003,Smartphone,"Processor, RAM, Storage, Camera, Display, Battery, etc.",Apple Inc.,"1 Apple Park Way, Cupertino, CA 95014, USA",China
004,Lipstick,"Castor Oil, Beeswax, Carnauba Wax, Candelilla Wax, Titanium Dioxide, etc.",L'Oreal,"41 Rue Martre, 92110 Clichy, France",France
005,Cheese,"Milk, Salt, Rennet, etc.",Kraft Heinz,"Avenida Presidente Juscelino Kubitschek, 2041 - Torre E - 6º Andar - São Paulo, Brazil",Brazil
006,Sunglasses,"Frames, Lenses, Nose pads, Temple tips, etc.",Ray-Ban,"Milan, Italy",Italy
007,T-Shirt,"Cotton, Polyester, Rayon, etc.",H&M,"Mäster Samuelsgatan 46A, 111 57 Stockholm, Sweden",Bangladesh
008,Toothpaste,"Sorbitol, Water, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, etc.",Colgate-Palmolive,"300 Park Ave, New York, NY 10022, USA",Mexico
009,Chocolate,"Sugar, Cocoa Butter, Milk Powder, Cocoa Mass, Lecithin, Vanilla",Lindt & Sprüngli,"Seestrasse 204, 8802 Kilchberg, Switzerland",Switzerland
010,Running Shoes,"Rubber Sole, Synthetic Mesh, EVA foam, etc.",Nike,"Beaverton, Oregon, USA",Vietnam